,Title,Published_date,Views,Likes,Dislikes,Comments,Month
256,Intermediate SQL Tutorial | Aliasing,2020-06-04,124317,3540,0,88,Jun
257,Data Analyst Q&A LIVE,2020-05-31,9745,248,0,54,May
258,Data Analyst Interviews | Salary Negotiation,2020-05-27,24774,793,0,26,May
259,Data Analyst Interview Questions | What To Say vs What NOT To Say,2020-05-20,68098,1662,0,35,May
260,SQL Interview Questions and Answers for Beginners | Data Analyst Interview Questions,2020-05-13,114302,3049,0,108,May
261,Data Analyst Interview Questions | Phone + In-Person Interview Questions,2020-05-06,75773,1555,0,64,May
262,Day in the Life of a Data Analyst | Fortune 500 Edition (During Quarantine),2020-04-23,15058,521,0,51,Apr
263,Intermediate SQL Tutorial | Updating/Deleting Data,2020-04-16,128371,3048,0,129,Apr
264,Intermediate SQL Tutorial | Having Clause,2020-04-09,149383,4122,0,76,Apr
265,Intermediate SQL Tutorial | Case Statement | Use Cases,2020-04-02,249900,6325,0,400,Apr
266,Intermediate SQL Tutorial | Unions | Union Operator,2020-03-26,219658,4479,0,150,Mar
267,Intermediate SQL Tutorial | Inner/Outer Joins | Use Cases,2020-03-19,443092,7869,0,426,Mar
268,Day in the Life of a Data Analyst | Fortune 500 Edition,2020-03-11,124591,2568,0,269,Mar
269,SQL Basics Tutorial For Beginners | Group By + Order By Statements | 4/4,2020-03-03,282689,7326,0,223,Mar
270,SQL Basics Tutorial For Beginners | Where Statement | 3/4,2020-03-02,298197,5437,0,148,Mar
271,SQL Basics Tutorial For Beginners | Select + From Statements | 2/4,2020-03-01,433919,6589,0,273,Mar
272,SQL Basics Tutorial For Beginners | Installing SQL Server Management Studio and Create Tables | 1/4,2020-03-01,1219138,16518,0,1896,Mar
273,Data Analyst Fact Check |  84k Average Starting Salary?? | The Career Force 2020 Data Analyst Salary,2020-02-26,25639,849,0,162,Feb
274,Data Analyst Resume | Reviewing YOUR Data Analyst Resumes!,2020-02-24,24454,526,0,39,Feb
275,Data Analyst Salary in 2020,2020-02-19,8055,156,0,25,Feb
276,Working With a Recruiter to Land Your First Job as a Data Analyst | LinkedIn Recruiters,2020-02-14,13563,593,0,39,Feb
277,Switching Careers to Become a Data Analyst | How I Made the Switch,2020-02-11,48526,1777,0,248,Feb
278,Data Analyst Resume | Complete Guide To Creating A Data Analyst Resume | Tips + Templates + Examples,2020-02-06,116413,3427,0,104,Feb
279,Data Analyst Resume | Reviewing My Resume! | Fortune 500 Data Analyst,2020-01-30,68343,1610,0,64,Jan
280,Working at a Big Company Vs Small Company | Told by a Fortune 500 Data Analyst,2020-01-25,14703,402,0,22,Jan
281,Data Analyst Salary | 100k with No Experience,2020-01-23,62993,2169,0,227,Jan
282,Truth About Big Companies | Told by a Fortune 500 Data Analyst,2020-01-21,8434,314,0,18,Jan
283,Top 3 Data Analyst Skills in 2020,2020-01-17,28208,1372,0,138,Jan
